"city","mean_swater","err"
"Zadar",2.95501730103806,""
"Zagreb",2.58578431372549,""
"Zahedan",1.66666666666667,""
"Zahle",NA,""
"Zakho",1.95652173913043,""
"Zalantun",1.3801652892562,""
"Zambezi",2,""
"Zamboanga",2.45633187772926,""
"Zamora1",1.18145161290323,""
"Zamora2",1.65,""
"Zanesville",2.35338345864662,""
"Zanjan",2,""
"Zanzibar",2.60780287474333,""
"Zaozernyy",1.875,""
"Zaozhuang",1.87146633215358,""
"Zapala",NA,""
"Zaporizhzhya",2.60826446280992,""
"Zarafshon",2.5,""
"Zaragoza",2.23166023166023,""
"Zarate",2.31707317073171,""
"Zaraza",1.07142857142857,""
"Zaria",1.82386363636364,""
"Zarzis",2.77372262773723,""
"Zaysan",NA,""
"Zelenodolsk",2.22727272727273,""
"Zelenokumsk",1,""
"Zenica",2.52173913043478,""
"Zhaltyr",NA,""
"Zhangjiakou",2.14473684210526,""
"Zhangye",1.52851182197497,""
"Zhangzhou",1.94209082596769,""
"Zhanibek",2,""
"Zhanjiang",2.04050632911392,""
"Zhanyi",1.89081364829396,""
"Zhaodong",1.73559322033898,""
"Zhaoqing",1.69375328083989,""
"Zhaotang",1.80057526366251,""
"Zharkent",1.60975609756098,""
"Zheleznogorsk",2.72,""
"Zheleznogorsk Ilimskiy",3,""
"Zhengzhou",1.6617932305305,""
"Zhenjiang",1.78161047027507,""
"Zhetiqara",1.89473684210526,""
"Zhijiang",2.04210526315789,""
"Zhob",1,""
"Zholymbet",1.75,""
"Zhosaly",1.73333333333333,""
"Zhoukou",1.60451590831338,""
"Zhuanghe",2.58714334822963,""
"Zhucheng",1.62159494670351,""
"Zhuzhou",1.77116864940518,""
"Zhytomyr",2.46296296296296,""
"Zibo",1.6521675238795,""
"Zicheng",2.25931520644512,""
"Zielona Gora",2.2,""
"Zigong",1.74305555555556,""
"Ziguinchor",2.09615384615385,""
"Zilina",2.46913580246914,""
"Zima",2.27210884353741,""
"Zinder",1.84,""
"Zixing",2,""
