City,longitude,latitude,coordinates,Unnamed: 0,mean_ndvi,mean_surface_water,mean_uhi_DayNight,mean_uhi_daytime,mean_uhi_Nighttime,Continent,Class,Skewness,Dip_Statistic,Mean_Height
Sari,53.06647550395232,36.57037878838788,"[53.06647550395232, 36.57037878838788]",570.0,0.0,1.45901639344262,3.18585229478776,2.16212922377863,1.02372307100914,ASIA,Hourglass,0.838005566,0.0,1.723191629
Messina,15.54819040150073,38.1933845402875,"[15.54819040150073, 38.1933845402875]",368.0,5180.95427203988,2.99526547176192,0.611163810537588,0.199750161510431,0.411413649027156,EUROPE,Pyramid,2.089981005,0.839705655,1.114901536
Uberaba,-47.93560991666093,-19.75416658939063,"[-47.93560991666093, -19.75416658939063]",106.0,4718.00320172934,1.55882352941176,2.68889634091944,1.62725113794138,1.06164520297807,SOUTH AMERICA,Hourglass,0.250729318,0.0,1.960206576
Davangere,75.92712593702508,14.468792013617016,"[75.92712593702508, 14.468792013617017]",159.0,4470.16774949392,2.20833333333333,2.88499129885225,1.57883756210625,1.306153736746,ASIA,Hourglass,1.456472367,0.0,1.023583561
Sioux City,-96.38979655519282,42.49636545222932,"[-96.38979655519282, 42.49636545222932]",153.0,3795.48062627007,2.0,2.09135182680828,1.4357261499955,0.655625676812783,NORTH AMERICA,Pyramid,1.466971528,0.99800056,1.241713011
Norwich,1.275546461292052,52.641802617692754,"[1.275546461292052, 52.641802617692754]",170.0,5561.79025181979,2.68518518518519,1.86590762681863,1.2591557860484,0.606751840770228,EUROPE,Hourglass,0.834290492,0.0,1.230928551
Longyan,117.01266528456232,25.08344941506577,"[117.01266528456232, 25.083449415065775]",38.0,4782.09352845222,1.685,1.44973366961442,0.820100791528822,0.629632878085598,ASIA,Pyramid,1.411555844,0.993154476,1.918118777
Maturin,-63.17971052018115,9.75416592862756,"[-63.17971052018115, 9.75416592862756]",287.0,5245.22112771739,1.26666666666667,1.50983307714044,1.28827337634246,0.221559700797977,SOUTH AMERICA,Hourglass,1.065062735,0.0,1.298347422
Gunsan,126.71606354747604,35.972504499758905,"[126.71606354747604, 35.972504499758905]",147.0,0.0,2.47307373653687,2.86067128178178,1.84068813279901,1.01998314898278,ASIA,Pyramid,1.847059798,0.706535646,2.010927826
Iasi,27.59547174281814,47.14444375087993,"[27.59547174281814, 47.14444375087993]",352.0,4375.14766076315,2.28859060402685,2.71738455816132,2.06855474790313,0.648829810258191,EUROPE,Pyramid,1.872217419,0.989571743,1.484874796
Prince George,-122.7802270523166,53.91564421503628,"[-122.78022705231659, 53.91564421503628]",66.0,4047.8574331172,2.62666666666667,0.641982093820457,0.709696725235485,-0.067714631415027,NORTH AMERICA,Pyramid,1.90830727,0.409648114,0.983369304
Nong Khai,102.73648498981248,17.879052684224593,"[102.73648498981247, 17.879052684224593]",156.0,4672.13222601393,1.8119723714505,0.442491275909588,0.142956312801829,0.299534963107759,ASIA,Pyramid,3.16373317,0.473853383,0.476132986
Ha Tinh,105.8671235425992,18.36571006939368,"[105.8671235425992, 18.36571006939368]",167.0,4749.78628810018,1.4142502071251,,,,ASIA,Pyramid,2.273110183,0.760883595,0.57069319
Belgorod,36.591215765829176,50.60468279509035,"[36.591215765829176, 50.60468279509035]",580.0,3304.84513192122,2.16981132075472,2.15933153059871,1.15455536941358,1.00477616118513,EUROPE,Pyramid,1.629115991,0.855278398,2.067184651
Barreiros,-35.17969490214431,-8.782801092703924,"[-35.17969490214431, -8.782801092703924]",510.0,6329.95205779427,2.27123287671233,,,,SOUTH AMERICA,Pyramid,5.707696449,0.891159651,0.123275665
Joplin,-94.49655801493228,37.08670279499517,"[-94.49655801493228, 37.08670279499517]",568.0,0.0,1.81196581196581,2.23982713685343,1.95588470952153,0.283942427331902,NORTH AMERICA,Pyramid,1.728742074,0.990230559,1.105481794
Noginsk,38.446691830376814,55.83238597480189,"[38.446691830376814, 55.83238597480189]",153.0,4173.75626375018,2.2710843373494,1.94595659065398,1.2400542724344,0.705902318219583,EUROPE,Pyramid,2.052408236,0.797923545,1.4161515
Bauchi,9.828722042807977,10.31462742953478,"[9.828722042807975, 10.31462742953478]",542.0,3291.66308300395,1.5,0.361927752456822,0.119804282714198,0.242123469742624,AFRICA,Hourglass,0.686829556,0.0,1.823766987
Suhar,56.69222781810161,24.392938248611262,"[56.69222781810161, 24.392938248611262]",294.0,1452.23057998866,2.89451176051319,-1.37465747699011,-1.67969737849356,0.305039901503447,ASIA,Pyramid,2.536187221,0.96590095,0.46745055
Lafia,8.548878957940747,8.427980925322617,"[8.548878957940747, 8.427980925322617]",443.0,4043.52890124705,1.66666666666667,1.92650811258675,1.20192940544712,0.724578707139621,AFRICA,Hourglass,1.908843411,0.0,0.555815509
Orel,36.07935503101834,52.96616987650989,"[36.07935503101834, 52.96616987650989]",294.0,3613.77646046668,2.375,2.76995937040631,2.00738355240115,0.762575818005165,EUROPE,Hourglass,1.610299479,0.0,1.771505571
Dezful,48.3833541849412,32.40907420200996,"[48.3833541849412, 32.40907420200996]",202.0,2732.6125837394,1.66190476190476,2.4064617746619,0.902054847719577,1.50440692694232,ASIA,Hourglass,0.820391356,0.0,1.326883203
Norman,-97.45328289271846,35.22141564604711,"[-97.45328289271846, 35.22141564604711]",162.0,4205.51006944444,1.80071174377224,0.588090111172688,0.270182002157584,0.317908109015104,NORTH AMERICA,Hourglass,1.898812594,0.0,1.239240679
